532	1259
536	1590
539	1813
561	1025
562	1054
563	1100
564	1181
566	1314
567	1366
570	1691
572	1814
594	1026
596	1101
597	1183
599	1316
601	1451
603	1693
605	1817
607	1975
627	1029
629	1105
630	1187
631	1284
632	1321
633	1390
634	1453
635	1625
661	1064
662	1112
665	1325
668	1657
669	1695
670	1747
671	1830
672	1943
693	1033
694	1065
696	1195
700	1463
728	1118
729	1197
730	1292
735	1703
737	1854
739	1999
759	1036
761	1121
763	1293
764	1329
766	1469
767	1671
770	1857
771	1950
792	1037
793	1073
797	1333
798	1419
799	1501
826	1077
827	1146
829	1296
830	1334
832	1533
836	1893
858	1042
863	1336
865	1541
868	1793
892	1082
893	1150
895	1298
897	1427
902	1923
924	1045
927	1227
929	1346
931	1553
936	1965
957	1046
958	1086
960	1229
964	1557
992	1171
993	1235
997	1558
1001	1927
1023	1050
1026	1239
1030	1566
